"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2";"PinSocket_1x04_P2.54mm_Vertical";1;"Voltage booster";;;
2;"C1";"CP_Radial_D5.0mm_P2.50mm";1;"Capacitor_PO";;;
3;"U2";"TP4056-Module";1;"TP4056";;;
4;"J18,J10";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";2;"BATTERY";;;
5;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"Resistor";;;
6;"J17";"PinSocket_1x06_P2.54mm_Vertical";1;"RTC Module";;;
7;"J8";"PinSocket_1x04_P2.54mm_Vertical";1;"Oled  Display";;;
8;"J5";"PinSocket_1x06_P2.54mm_Vertical";1;"Dust sensor";;;
9;"J15";"PinSocket_1x04_P2.54mm_Vertical";1;"Rain sensor";;;
10;"J14";"PinSocket_1x03_P2.54mm_Vertical";1;"SOIL";;;
11;"J7";"PinSocket_1x04_P2.54mm_Vertical";1;"Hall effect";;;
12;"J6";"PinSocket_1x03_P2.54mm_Vertical";1;"iR Flame Sensor";;;
13;"J11";"PinSocket_1x04_P2.54mm_Vertical";1;"VOLT AND CURRENT SENSOR";;;
14;"J4";"PinSocket_1x06_P2.54mm_Vertical";1;"BME280";;;
15;"J19";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"INPUT";;;
16;"J13";"PinSocket_1x03_P2.54mm_Vertical";1;"DHT 11";;;
17;"J12";"PinHeader_1x03_P2.54mm_Vertical";1;"WATER FLOW SENSOR";;;
18;"J16";"PinSocket_1x03_P2.54mm_Vertical";1;"Relay Module";;;
19;"J3";"PinSocket_1x04_P2.54mm_Vertical";1;"Sound sensor";;;
20;"J1";"PinSocket_1x04_P2.54mm_Vertical";1;"MQ2 gas sensor";;;
21;"U1";"XCVR_ESP32-S3-DEVKITC-1-N8R2";1;"ESP32-S3-DEVKITC-1-N8R2";;;
